hash,family,seed,result,time,conflicts,decisions,propagations,returncode,maquina
7faa62e8464b2ca45d9ca4bfd3ef95a4,argumentation,42,SAT,0.069,0.000,0.000,600.000,10,pc1
7faa62e8464b2ca45d9ca4bfd3ef95a4,argumentation,123,SAT,0.065,0.000,0.000,600.000,10,pc1
7faa62e8464b2ca45d9ca4bfd3ef95a4,argumentation,777,SAT,0.067,0.000,0.000,600.000,10,pc1
81d2158d506ea1049708837460b9387e,argumentation,42,TIMEOUT,800.000,,,,-1,pc1
81d2158d506ea1049708837460b9387e,argumentation,123,TIMEOUT,800.000,,,,-1,pc1
81d2158d506ea1049708837460b9387e,argumentation,777,TIMEOUT,800.000,,,,-1,pc1
8270ae50e6f2881136868db6d3a88eee,argumentation,42,TIMEOUT,800.000,,,,-1,pc1
8270ae50e6f2881136868db6d3a88eee,argumentation,123,TIMEOUT,800.000,,,,-1,pc1
8270ae50e6f2881136868db6d3a88eee,argumentation,777,TIMEOUT,800.000,,,,-1,pc1
84bdf44171ffa3ffbc187c7244c83bf5,argumentation,42,TIMEOUT,800.000,,,,-1,pc1
84bdf44171ffa3ffbc187c7244c83bf5,argumentation,123,TIMEOUT,800.000,,,,-1,pc1
84bdf44171ffa3ffbc187c7244c83bf5,argumentation,777,TIMEOUT,800.000,,,,-1,pc1
89b778a6b654bd3107b4fc10b3a0fdee,argumentation,42,SAT,193.443,1491883.000,1867674.000,97131929.000,10,pc1
89b778a6b654bd3107b4fc10b3a0fdee,argumentation,123,SAT,187.978,1473463.000,1845421.000,96026217.000,10,pc1
89b778a6b654bd3107b4fc10b3a0fdee,argumentation,777,TIMEOUT,800.000,,,,-1,pc1
9164165d7f1960b7d6317ff09cd9e2a2,argumentation,42,TIMEOUT,800.000,,,,-1,pc1
9164165d7f1960b7d6317ff09cd9e2a2,argumentation,123,TIMEOUT,800.000,,,,-1,pc1
9164165d7f1960b7d6317ff09cd9e2a2,argumentation,777,TIMEOUT,800.000,,,,-1,pc1
92a730305d3ebc88e06cdf74deb5e484,argumentation,42,TIMEOUT,800.000,,,,-1,pc1
92a730305d3ebc88e06cdf74deb5e484,argumentation,123,TIMEOUT,800.000,,,,-1,pc1
92a730305d3ebc88e06cdf74deb5e484,argumentation,777,TIMEOUT,800.000,,,,-1,pc1
953e9ff735bdf5ada27b0ab2b908b6af,argumentation,42,TIMEOUT,800.000,,,,-1,pc1
953e9ff735bdf5ada27b0ab2b908b6af,argumentation,123,TIMEOUT,800.000,,,,-1,pc1
953e9ff735bdf5ada27b0ab2b908b6af,argumentation,777,TIMEOUT,800.000,,,,-1,pc1
9749dfccb16cf9c3978e508e58b7e793,argumentation,42,TIMEOUT,800.000,,,,-1,pc1
9749dfccb16cf9c3978e508e58b7e793,argumentation,123,TIMEOUT,800.000,,,,-1,pc1
9749dfccb16cf9c3978e508e58b7e793,argumentation,777,TIMEOUT,800.000,,,,-1,pc1
9754fc1acf450ee2ed2083a211cfa487,argumentation,42,SAT,191.493,1403260.000,1772994.000,143672034.000,10,pc1
9754fc1acf450ee2ed2083a211cfa487,argumentation,123,TIMEOUT,800.000,,,,-1,pc1
9754fc1acf450ee2ed2083a211cfa487,argumentation,777,TIMEOUT,800.000,,,,-1,pc1
9da5ac8c85d8a5ff3d81cd40004cf4b7,argumentation,42,TIMEOUT,800.000,,,,-1,pc1
9da5ac8c85d8a5ff3d81cd40004cf4b7,argumentation,123,TIMEOUT,800.000,,,,-1,pc1
9da5ac8c85d8a5ff3d81cd40004cf4b7,argumentation,777,TIMEOUT,800.000,,,,-1,pc1
9e5f847d97c4aa584e9c89d342ff886b,argumentation,42,UNSAT,197.979,1694296.000,2323108.000,177382349.000,20,pc1
9e5f847d97c4aa584e9c89d342ff886b,argumentation,123,UNSAT,165.729,1670914.000,2288934.000,175773698.000,20,pc1
9e5f847d97c4aa584e9c89d342ff886b,argumentation,777,UNSAT,166.363,1686875.000,2320288.000,177540185.000,20,pc1
9e749596a8de36d8ab706c96cf128455,argumentation,42,TIMEOUT,800.000,,,,-1,pc1
9e749596a8de36d8ab706c96cf128455,argumentation,123,TIMEOUT,800.000,,,,-1,pc1
9e749596a8de36d8ab706c96cf128455,argumentation,777,TIMEOUT,800.000,,,,-1,pc1
a12bb1cc7368a41319792a395275eee1,argumentation,42,TIMEOUT,800.000,,,,-1,pc1
a12bb1cc7368a41319792a395275eee1,argumentation,123,SAT,12.947,92626.000,136028.000,18524176.000,10,pc1
a12bb1cc7368a41319792a395275eee1,argumentation,777,SAT,99.218,779867.000,1068670.000,98955338.000,10,pc1
