instance,status,cpu_s,verificacion
bench/symm2026/N/f497bda3018958d7ba2d1cd99da3982e.cnf.xz,UNSAT,59.227,OK
bench/symm2026/N/f52a349677a5b5b5315b5954b3181fe3.cnf.xz,SAT,34.822,OK
bench/symm2026/N/f8443057c188f6c9cfb711ff3d4aa6ff.cnf.xz,UNSAT,74.204,SALTADA
bench/symm2026/X/09e0775d2b51c49ec1ec4d214ee7c8c8.cnf.xz,TIMEOUT,176.951,SALTADA
bench/symm2026/X/37fa67bd34cc613f3fc6954cdee943c1.cnf.xz,SAT,23.148,OK
bench/symm2026/X/77bfac6b280653e63013f77d0991484e.cnf.xz,SAT,21.205,OK
bench/symm2026/X/7d311f620f4ebc4adf8f4079899750eb.cnf.xz,SAT,127.438,OK
bench/symm2026/X/97af3e49faef7cf67794928b6690b67c.cnf.xz,SAT,42.415,OK
bench/symm2026/X/e67d733d9938c565d6359002333611ff.cnf.xz,SAT,29.09,OK
bench/symm2026/X/fca71c20202ef404349136c3a00465eb.cnf.xz,TIMEOUT,177.178,SALTADA
