instance,family,build,exit,secs,clauses_in,clauses_out,proof_bytes,out_sha1
58eaf62034046ed4fc52562869569b44.cnf.xz,H,mit,0,1.118,32021,1,1172841,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
58eaf62034046ed4fc52562869569b44.cnf.xz,H,mclique,0,1.119,32021,1,1172841,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
58eaf62034046ed4fc52562869569b44.cnf.xz,H,cliques,0,1.067,32021,1,1172841,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
5d02aa18eac7304c705577f1cce07784.cnf.xz,H,mit,0,0.767,247840,203610,808271,77e0b7b37043ec9ddd62ade96d36bcfd363fcbe7
5d02aa18eac7304c705577f1cce07784.cnf.xz,H,mclique,0,0.767,247840,203610,808271,77e0b7b37043ec9ddd62ade96d36bcfd363fcbe7
5d02aa18eac7304c705577f1cce07784.cnf.xz,H,cliques,0,0.767,247840,203610,808271,77e0b7b37043ec9ddd62ade96d36bcfd363fcbe7
5d06225b27017e9a703f10cb577cf3bf.cnf.xz,H,mit,0,0.064,17432,1,170238,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
5d06225b27017e9a703f10cb577cf3bf.cnf.xz,H,mclique,0,0.064,17432,1,170238,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
5d06225b27017e9a703f10cb577cf3bf.cnf.xz,H,cliques,0,0.064,17432,1,170238,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
5d8b47745dba3fe50f9c8712be389cd5.cnf.xz,H,mit,0,4.883,55525,1,1315138,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
5d8b47745dba3fe50f9c8712be389cd5.cnf.xz,H,mclique,0,5.283,55525,1,1315138,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
5d8b47745dba3fe50f9c8712be389cd5.cnf.xz,H,cliques,0,4.790,55525,1,1315138,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
65bf849f3e86ab275e339934f4d140a0.cnf.xz,H,mit,0,0.315,208955,191315,1205780,3dd7243a5554eb000b508ca065e87cd9ec7bb71d
65bf849f3e86ab275e339934f4d140a0.cnf.xz,H,mclique,0,0.315,208955,1,756533,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
65bf849f3e86ab275e339934f4d140a0.cnf.xz,H,cliques,0,0.265,208955,38808,2135301,d9c3099e7f3494f1c42ed2ff2068befde32d3719
6ddda96839bb24cd7389d5556d3ab16d.cnf.xz,H,mit,0,24.004,562074,392022,9404064,d0cebc0645fe9b224fc8a525a4465864b7602339
6ddda96839bb24cd7389d5556d3ab16d.cnf.xz,H,mclique,0,0.917,562074,1,4044062,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
6ddda96839bb24cd7389d5556d3ab16d.cnf.xz,H,cliques,0,0.968,562074,1,4044062,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
71849248b47db583f56e77f55f31e525.cnf.xz,H,mit,0,0.567,455260,1,1637473,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
71849248b47db583f56e77f55f31e525.cnf.xz,H,mclique,0,0.516,455260,1,1637473,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
71849248b47db583f56e77f55f31e525.cnf.xz,H,cliques,0,0.516,455260,1,1637473,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
757d64688ac60cba697a980dfbbf5075.cnf.xz,H,mit,0,0.265,245882,1,790749,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
757d64688ac60cba697a980dfbbf5075.cnf.xz,H,mclique,0,0.265,245882,1,790749,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
757d64688ac60cba697a980dfbbf5075.cnf.xz,H,cliques,0,0.265,245882,1,790749,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
7b9620b5d7da55bda43595fe37867acd.cnf.xz,H,mit,0,0.718,604890,1,2269463,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
7b9620b5d7da55bda43595fe37867acd.cnf.xz,H,mclique,0,0.768,604890,1,2269463,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
7b9620b5d7da55bda43595fe37867acd.cnf.xz,H,cliques,0,0.817,604890,1,2269463,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
8117a2ac08e1acf52f660663efe2a5ca.cnf.xz,H,mit,0,0.008,1127,1127,0,a30ef2b3f5d30cae8f46df51393c21d5d61e51ed
8117a2ac08e1acf52f660663efe2a5ca.cnf.xz,H,mclique,0,0.008,1127,1127,0,a30ef2b3f5d30cae8f46df51393c21d5d61e51ed
8117a2ac08e1acf52f660663efe2a5ca.cnf.xz,H,cliques,0,0.008,1127,1127,0,a30ef2b3f5d30cae8f46df51393c21d5d61e51ed
860788f93fb766e83e00a29de84180e7.cnf.xz,H,mit,0,0.867,19652,1,368075,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
860788f93fb766e83e00a29de84180e7.cnf.xz,H,mclique,0,0.817,19652,1,368075,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
860788f93fb766e83e00a29de84180e7.cnf.xz,H,cliques,0,0.817,19652,1,368075,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
92b22042a950db2a9841f08d169d1bb5.cnf.xz,H,mit,0,0.566,497790,1,1734073,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
92b22042a950db2a9841f08d169d1bb5.cnf.xz,H,mclique,0,0.566,497790,1,1734073,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
92b22042a950db2a9841f08d169d1bb5.cnf.xz,H,cliques,0,0.617,497790,1,1734073,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
9ba8145e0d02318dea5507fc3ba03472.cnf.xz,H,mit,0,23.505,4611150,3489290,12654102,372950782f9df17bee91e0d8ffc11f6fb6234952
9ba8145e0d02318dea5507fc3ba03472.cnf.xz,H,mclique,TOPE,60.032,4611150,,,
9ba8145e0d02318dea5507fc3ba03472.cnf.xz,H,cliques,0,20.258,4611150,3489290,12654102,788a9cac3257ecc2b52492ba0612518d372e31cb
a7e5d03892a17e51e22b688f51cf0aab.cnf.xz,H,mit,0,2.024,33140,1,724477,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
a7e5d03892a17e51e22b688f51cf0aab.cnf.xz,H,mclique,0,2.121,33140,1,724477,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
a7e5d03892a17e51e22b688f51cf0aab.cnf.xz,H,cliques,0,1.975,33140,1,724477,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
